title, code, semester, score
Machine Learning, CSIE5043, Fall 2021, A
Multivariate Statistical Analysis, MATH7610, Spring 2021, A+
Neural and Behavioral Modeling, PSY7277, Fall 2020, A+
Regression Analysis, MATH7606, Fall 2020, A
Advanced Statistical Inference II, MATH7604, Spring 2020, A-
Advanced Statistical Inference I, MATH7603, Fall 2019, B-
Experimental Design, PSY7001, Fall 2019, A+
Linear Algebra, CSIE2120, Fall 2019, A+	
Applied Linear Regression, PSY5033, Spring 2019, A+
Applied Bayesian Statistical Analysis, EPM5074, Fall 2018, A 
